,000905.XSHG,open,close,high,low,volume,money,ACCER,ADTM,MAADTM,MTR,ATR,BIAS,CCI,CYE,DKX,KBJ,CYE,MFI,MTM,EMV,ROC,RSI,RSI10,RSI6,OSC,UDL,UDL,WR,MAWR,CHO,MACHO,DIF,DIFMA,CR,MASS,MAMASS,AMO,AMO1,AMO2,BR,AR
2016-02-02,1.0,5407.7068,5586.6266,5594.3607,5407.6681,6657196200.0,75674180029.0,0.004888828617971364,-0.480826603188514,-0.42212320116939195,194.88360000000011,268.59375714285704,2.1011373785804146,-64.70954599033821,-0.009838371266691523,5770.5146123015875,22.896170188196514,-0.009838371266691523,35.553554526577145,-337.41740000000027,-1.2359269868932081,-5.20990783011367,43.06446336060166,31.536955918717446,29.31548327837919,-38134.490999999434,5647.226501666666,5805.827904305551,65.55057648716965,53.36264459726294,-706946.7725529531,-605646.7335195848,-1233.2706140000046,-1182.3449238000017,35.50955580488282,28.672877673100576,28.69672625295483,7567418.0029,7866977.892459999,8685098.52982,42.675524149404836,65.68852379397711
2016-02-03,1.0,5520.6415,5610.1734,5634.9198,5482.2247,6328072600.0,70624920617.0,0.014177511875123073,-0.4585587764375891,-0.4466381028369889,152.6950999999999,250.17026428571418,2.4663515589910796,-45.422665383988615,0.35235869663640085,5735.175271904763,28.99421288849961,0.35235869663640085,42.4462336013762,-514.6466,-0.9495305548376528,-6.167250351887022,44.55825868755715,31.83620749311778,32.414052440823205,-28502.642999999352,5632.378579166665,5735.203034583326,61.12982653526204,6.276445751825954,-739882.9353100015,-583357.2954851255,-1242.3370920000034,-1193.307824200002,37.5172337431835,28.527640472597877,28.66970616556367,7062492.0617,7372377.668780001,8257402.66964,43.4146849470232,70.5101623515691
2016-02-04,1.0,5631.3198,5721.4853,5744.0236,5631.3198,7108398200.0,83226216373.0,0.012504027581789085,-0.24562395932372233,-0.44248993550671284,133.85020000000077,239.51456428571424,3.844112999976034,-9.993731917409697,1.6470673877746786,5713.614813095237,37.368993132633356,1.6470673877746786,50.03233222770444,-172.1966999999995,-0.9343932613092244,-7.674715701859447,51.74080885687875,33.07203133759408,37.008057688124026,-13667.664499999319,5668.330809583333,5688.459060624994,43.60470435019623,4.545766249314786,-594960.412047781,-591919.9338093713,-1214.8589380000021,-1199.3648792000022,41.793586154471775,28.408171918364136,28.617061868822844,8322621.6373,7573847.210899999,8084111.798359999,45.092782499984615,71.97202586194864
2016-02-05,0.0,5734.4807,5664.1971,5747.9794,5662.4365,5607554500.0,65321968979.0,0.011728029379486247,-0.18356125598739959,-0.41330936700472,85.54290000000037,225.1936357142857,1.5966528487690899,-7.885303239289675,0.7020278823740695,5698.423124047618,44.393853702615175,0.7020278823740695,50.96827284831831,-314.71049999999923,-0.8103312038770522,-7.726737158445019,47.90769345486795,33.75633821412758,41.81373673597236,-14865.309999999317,5665.310316666667,5665.739902083329,50.32375364697853,16.76435936613329,-458798.6113765334,-574354.7004327435,-1202.3026800000025,-1201.6717812000024,40.31422030752708,28.245358968746665,28.539308091152865,6532196.8979,7314212.378659999,7893037.797309999,43.784455016638226,70.28622740890683
2016-02-15,1.0,5485.723,5668.0398,5700.5221,5482.7957,5363125300.0,63351303196.0,0.0038258394021863564,-0.3048673906171646,-0.39269053081629324,217.72640000000047,223.09020000000004,1.0646047769755038,-21.50128958421514,0.9597708838081985,5678.0832414285715,56.112406013068465,0.9597708838081985,43.619694318525084,-529.0549000000001,-1.1577543566936284,-3.71747971571037,48.216483110658686,34.21822684606248,44.364109237318594,-12177.958999999373,5668.470791666665,5655.724217708328,42.38834993858636,18.665322370690077,-476078.4380389368,-584396.2223567801,-1205.4696260000028,-1206.4736426000024,38.46599251042809,27.619241482058,28.365949161840575,6335130.3196,7163971.78388,7739773.99771,43.572896268166204,77.1667480452554
2016-02-16,1.0,5694.7487,5902.5341,5918.5932,5694.7487,8287714300.0,98534904807.0,0.00900081034686454,-0.20839112340670318,-0.3561395488446145,250.5534000000007,230.32690000000008,3.6955647216849825,65.06457224173289,1.118235966625789,5682.804970555555,69.4150609179122,1.118235966625789,42.789105437399776,-235.96900000000005,-0.9762350431768719,-1.3055020414218244,63.890686368843454,36.527719351433696,49.89640331829216,12442.115500000637,5704.257635416663,5664.329105694439,2.3687822434628627,3.143141724687314,-118145.02951929183,-515802.03314091574,-1144.0296080000016,-1203.9170374000005,49.712290558523925,26.83598126077355,28.051545295940134,9853490.4807,7621186.279440001,7744082.085949999,54.73926612373406,97.1805815325089
2016-02-17,1.0,5889.5021,5971.4123,5979.4073,5854.2197,9058252000.0,107857008107.0,0.012362083924434481,0.08163142972697973,-0.28055395208633027,125.1876000000002,217.52360000000013,3.7368628879592776,103.82296294447235,1.2645573975945723,5698.420045,80.11360200586945,1.2645573975945723,51.952485738591356,84.52880000000005,-0.7634043036767247,-1.1572591653345787,67.37179700992631,39.18448562315386,53.94762066718573,19093.094000000656,5759.943543333332,5683.115279305553,1.0934196106824283,1.6080611027014802,45311.26361645013,-390425.6937793489,-1068.8565840000047,-1194.016960600003,60.656122141003564,26.102971819635968,27.62322765369605,10785700.8107,8365828.02924,7869102.84901,59.51664735481531,89.6037069945761
2016-02-18,0.0,6009.7485,5957.1305,6034.8519,5945.204,9371479800.0,110109734502.0,0.014927309381588875,0.29275807917558977,-0.18842995000731544,89.64789999999994,208.6228142857144,2.45947783027368,116.76070856287845,0.8146014228052895,5718.452509126984,85.0428795454925,0.8146014228052895,60.315385739433694,-23.480599999999868,-0.5935984228132869,6.580844576632572,65.79358783603456,42.143826249841744,57.486844261079405,18503.361500000665,5810.868026249998,5712.86352048611,9.880212840256984,14.078530410490716,474093.80035254196,-188096.23783559143,-971.292194000006,-1170.3359888000032,57.990047098541964,25.232855086477663,27.07409675600933,11010973.4502,8903498.39182,8238672.801360001,56.72683421140845,85.4121099206934
2016-02-19,1.0,5939.6973,5979.5164,6009.724,5919.6832,7038049900.0,86849115989.0,0.011331177216940222,0.3493242128567028,-0.08466109800166333,90.04079999999976,206.70194285714297,2.0893826587706403,118.19398170141686,1.0812190348546782,5737.637718571429,87.80876858023498,1.0812190348546782,53.27069945858511,-61.80969999999979,-0.6869844865225717,8.438735664572672,67.23716739270019,44.38507887759535,60.069571883087825,20312.77950000076,5846.881887916666,5742.622033541663,7.737594511482227,10.02352659022745,720284.0689272848,31111.17566025234,-888.4332620000059,-1138.6225510000033,64.62788437558903,24.312137382658307,26.391424333391697,8684911.5989,9334041.33202,8324126.855340001,66.67682270403536,100.52587130343844
2016-02-22,1.0,6055.6751,6103.7225,6111.6899,6029.4589,9432052000.0,110801609577.0,0.006725091122671466,0.36797033724782274,0.01865504120901318,132.17349999999988,182.75008571428583,2.922739044291968,131.10383422412627,1.4779609981305486,5766.765286746032,91.23161226294253,1.4779609981305486,62.21767411201318,514.4156000000003,-0.22711450692962815,15.79308065049303,74.4237147947843,47.248046861988804,64.48890707355469,32109.315000000697,5898.858194166664,5781.546679791663,1.1316979104909035,1.2668903608906625,1044427.7141772152,281648.89658587595,-789.8496720000057,-1096.0700270000036,76.77865000739541,23.46980180409084,25.595498139282395,11080160.9577,10283047.45964,8723509.62176,68.50618911238273,113.68136547049552
2016-02-23,0.0,6102.5122,6070.4998,6118.6447,5982.211,8787487600.0,106556791415.0,0.005679384092887913,0.3858680684082633,0.09759154467551137,136.4336999999996,164.81392857142868,1.2176891633147966,102.46897719490217,0.5614893588841494,5795.547182301588,92.38648201734165,0.5614893588841494,61.673242756554714,556.3111999999992,0.33941294882791456,10.99580565477616,69.52846628428647,49.18739802776787,68.04090286834914,29420.01950000067,5927.218314583331,5824.671266944442,7.564957103799413,11.357715099930234,1364401.0608777835,588395.4797386657,-710.8277880000069,-1043.825744400004,81.30017479439753,22.779737958570312,24.788914218701112,10655679.1415,10443485.191799998,9032335.73562,75.7563122576023,119.04453194075396
2016-02-24,1.0,6041.7529,6111.0427,6116.2549,5975.1403,8981957900.0,111114133801.0,0.006526018873996707,0.22631361360229085,0.1488259033742227,141.11459999999988,156.52872857142862,1.3066829600581749,90.83268978879322,0.46416160290236286,5825.666253492063,94.2796878842347,0.46416160290236286,68.69068921336536,839.8101999999999,0.40987530965307906,13.178416850772457,72.20566627006299,51.21611727425905,69.42673484871548,33611.61150000071,5957.338837083331,5866.85146722222,1.1955668720088983,2.874917273328867,1650448.7690869742,883161.1128397087,-634.8788720000057,-983.0799224000042,89.8597290032902,22.20909760909567,24.017766943421467,11111413.3801,10508627.705680002,9437227.86746,75.69713545939325,122.03736577202326
2016-02-25,0.0,6097.4199,5626.0522,6097.5442,5604.1035,11066865300.0,129597084427.0,-0.012435153019020935,0.2522869307433107,0.2184701935442821,506.9391999999998,173.6478571428572,-5.83478295773006,-9.08605792021771,-1.0954909176344971,5825.812533095237,76.81555567381788,-1.0954909176344971,59.89856728094601,156.92680000000018,-0.08946241764382565,0.7057138918144412,31.932364567876125,50.72816754382228,63.52015819759118,-13583.281999999326,5895.332844999998,5889.416350833332,77.47004398843116,95.73431631908194,1578464.4716126006,1138686.6475057348,-609.4577460000073,-922.5398032000048,80.9009900578009,21.988287131503643,23.33198616206609,12959708.4427,10898374.704179998,9900936.548,66.74257628087133,108.6987113038104
